# Frequency (microHz)     Power spectral density (ppm^2/microHz)
  72.8781619193   14.8051126791
  72.8872218598  126.9273239681
  72.8962818004   93.9482759601
  72.9053417410   77.9234671630
  72.9144016815   59.0157474263
  72.9234616221   88.9967181664
  72.9325215627   19.3868105993
  72.9415815032  235.7481839488
  72.9506414438   55.5351365958
  72.9597013844   39.9257549963
  72.9687613249   72.6189363108
  72.9778212655  158.4349584364
  72.9868812061    9.4422346180
  72.9959411466    4.7905989516
  73.0050010872   16.1107655576
  73.0140610278  163.3946149223
  73.0231209683   41.3963461809
  73.0321809089   20.4538534080
  73.0412408495  112.1525679024
  73.0503007900   95.9549655510
  73.0593607306  148.7811273832
  73.0684206712   65.5819997408
  73.0774806117   12.4311969535
  73.0865405523   24.0753092770
  73.0956004929   91.2604902974
  73.1046604334   15.9530354590
  73.1137203740   15.0811569748
  73.1227803146   23.3320961956
  73.1318402551   12.3970957317
  73.1409001957   27.3292568856
  73.1499601363   28.7594147689
  73.1590200768    1.3806469550
  73.1680800174  145.2263546978
  73.1771399580  283.4102614165
  73.1861998985   91.7724983131
  73.1952598391   66.2746172990
  73.2043197797   53.9421261018
  73.2133797202   51.2518366263
  73.2224396608   30.6464865161
  73.2314996014  106.8481825358
  73.2405595419  195.6439512049
  73.2496194825  119.6351132862
  73.2586794231  291.2354091242
  73.2677393636    5.8768020192
  73.2767993042   24.8432251802
  73.2858592448   52.8045292240
  73.2949191853   87.6924291636
  73.3039791259    7.5614067522
  73.3130390665   26.1608721624
  73.3220990070   92.1277548768
  73.3311589476    6.5380278975
  73.3402188882   99.7246256281
  73.3492788287    1.2154750580
  73.3583387693   57.4484359278
  73.3673987099   32.8025128649
  73.3764586504   46.9793463979
  73.3855185910   56.4011278791
  73.3945785316    5.0658172840
  73.4036384721    4.7381460871
  73.4126984127  145.8677337660
  73.4217583533   17.9272494263
  73.4308182938   70.5882477567
  73.4398782344   57.1703626766
  73.4489381750   85.3309756004
  73.4579981155   80.8082833450
  73.4670580561   11.8024114555
  73.4761179967  181.6007245542
  73.4851779372   55.2769344328
  73.4942378778   12.9467627418
  73.5032978184  128.0235647510
  73.5123577589   25.2647199943
  73.5214176995   24.4154853546
  73.5304776401  106.1798459090
  73.5395375806    1.3168589156
  73.5485975212   36.4840678296
  73.5576574618  197.4533838875
  73.5667174023   15.1699200090
  73.5757773429   22.5259769636
  73.5848372835   24.0230377030
  73.5938972240  104.8328022681
  73.6029571646   21.4850204681
  73.6120171052  192.9139076878
  73.6210770457    3.9170409294
  73.6301369863   28.5353840283
  73.6391969269   53.7465354318
  73.6482568674   10.3459933915
  73.6573168080  139.7724082754
  73.6663767486   96.4286050748
  73.6754366891    3.2003634865
  73.6844966297   12.4997596528
  73.6935565703  271.3630185493
  73.7026165108  104.6824990680
  73.7116764514    1.3295674416
  73.7207363920   52.9298023970
  73.7297963325   52.7725276880
  73.7388562731   31.8286145026
  73.7479162137   64.4201672562
  73.7569761542   49.7391939702
  73.7660360948   80.9152916640
  73.7750960354   52.8120562762
  73.7841559759   32.4364002829
  73.7932159165    7.7082336621
  73.8022758571   62.9375383842
  73.8113357976   60.5397423292
  73.8203957382   62.2330229355
  73.8294556788  271.7390363384
  73.8385156193  206.1196061972
  73.8475755599   15.0213294794
  73.8566355005   86.6234850003
  73.8656954410   11.2527989455
  73.8747553816    0.4088752747
  73.8838153222  399.3134971288
  73.8928752627   51.2625147692
  73.9019352033   35.0246370463
  73.9109951439  123.2858014566
  73.9200550844   11.3424911184
  73.9291150250   43.8953178039
  73.9381749656    6.6403996264
  73.9472349061  156.0128774715
  73.9562948467   18.4910540783
  73.9653547873   40.2107472657
  73.9744147278  121.3289866847
  73.9834746684  184.9484372314
  73.9925346090  155.4046948192
  74.0015945495   74.1954965175
  74.0106544901    4.1456480982
  74.0197144307   92.7634106139
  74.0287743712   22.9767807628
  74.0378343118   27.0991768141
  74.0468942524   44.0047880669
  74.0559541929  161.2793652099
  74.0650141335    9.4590173540
  74.0740740741  124.2775612914
  74.0831340146  112.9084195564
  74.0921939552   10.9586262550
  74.1012538958  281.0611415444
  74.1103138363   29.1792363786
  74.1193737769  195.6720001304
  74.1284337175  101.0601110883
  74.1374936580  159.0276015389
  74.1465535986   68.8422136888
  74.1556135392   90.5818979242
  74.1646734797    2.0579009431
  74.1737334203    9.3193875908
  74.1827933609   35.5435196202
  74.1918533014   28.3273300558
  74.2009132420   48.6511863464
  74.2099731826   92.7552137236
  74.2190331231   32.2531600045
  74.2280930637  199.6067277835
  74.2371530043   76.0387469106
  74.2462129448  183.2098999383
  74.2552728854   52.4713707346
  74.2643328260   59.4786151684
  74.2733927665   37.3794203761
  74.2824527071  116.8309820004
  74.2915126477   14.2244614797
  74.3005725882   83.4344184385
  74.3096325288   81.7449157542
  74.3186924694  157.9396575531
  74.3277524099    0.0669816432
  74.3368123505    4.4110038238
  74.3458722911   16.0442578993
  74.3549322316  253.1410378907
  74.3639921722   13.1393201719
  74.3730521128  149.0627816389
  74.3821120533   47.7021811503
  74.3911719939   76.9499772649
  74.4002319345  130.4676554340
  74.4092918750    4.6377806093
  74.4183518156   87.5969816195
  74.4274117562   24.0656617802
  74.4364716967   24.3452213498
  74.4455316373  103.7805419467
  74.4545915779   43.3455349381
  74.4636515184   14.3877745216
  74.4727114590  104.2907518719
  74.4817713996  185.7699297537
  74.4908313401  121.2495104645
  74.4998912807   83.2924758990
  74.5089512213  113.7767146434
  74.5180111618   38.3899621215
  74.5270711024  157.9842031155
  74.5361310430   85.9799318193
  74.5451909835   37.0012486753
  74.5542509241  152.4190896239
  74.5633108647   37.6360723281
  74.5723708052    4.0336098453
  74.5814307458    6.6193218903
  74.5904906864  141.3499095543
  74.5995506269    8.9798416643
  74.6086105675   99.9079004037
  74.6176705081   76.4679816288
  74.6267304486   45.3243384122
  74.6357903892   94.2457407980
  74.6448503298    0.4155041761
  74.6539102703   20.6420935245
  74.6629702109   76.7685427088
  74.6720301515   10.2444059922
  74.6810900920    4.5223426990
  74.6901500326   58.1889273108
  74.6992099732  158.6754612510
  74.7082699137   99.2546190946
  74.7173298543   74.8044288132
  74.7263897949   20.4401307651
  74.7354497354  123.2786363008
  74.7445096760   46.0768627612
  74.7535696166   88.6183547708
  74.7626295572   20.1528828418
  74.7716894977   73.5233191999
  74.7807494383   22.5548462017
  74.7898093789   45.5327723663
  74.7988693194  120.1882967173
  74.8079292600   31.7287736734
  74.8169892006   64.5286514249
  74.8260491411   15.4096024602
  74.8351090817  237.3125000008
  74.8441690223    6.3729829014
  74.8532289628   13.2094333070
  74.8622889034   49.6450176007
  74.8713488440  274.9691018020
  74.8804087845   81.0304846966
  74.8894687251   77.6611913527
  74.8985286657   20.5315728609
  74.9075886062  164.4980693657
  74.9166485468    4.5862099303
  74.9257084874   13.1034797840
  74.9347684279   63.8042940839
  74.9438283685   55.6354222482
  74.9528883091   25.9716475012
  74.9619482496  184.7547852569
  74.9710081902   83.7929842208
  74.9800681308   30.8368764522
  74.9891280713   21.2780433731
  74.9981880119  103.9315183659
  75.0072479525    2.7545112635
  75.0163078930   12.7229179227
  75.0253678336   77.4209866891
  75.0344277742   43.5387282166
  75.0434877147   95.5246048711
  75.0525476553  201.7220804136
  75.0616075959   27.9030656421
  75.0706675364   50.1055040643
  75.0797274770   58.0216196591
  75.0887874176    0.6112149052
  75.0978473581   86.2391781287
  75.1069072987   43.8823269517
  75.1159672393  148.0191538123
  75.1250271798    2.9178396742
  75.1340871204   27.2541139878
  75.1431470610   70.5732803995
  75.1522070015   98.1611633637
  75.1612669421   95.7385997858
  75.1703268827  130.5958021745
  75.1793868232   83.0830383611
  75.1884467638   57.2686765746
  75.1975067044    9.0075085589
  75.2065666449   31.1436124369
  75.2156265855   42.5797260410
  75.2246865261   74.9194063774
  75.2337464666   20.2005658472
  75.2428064072   23.4217208943
  75.2518663478   74.8012893892
  75.2609262883  163.7834375060
  75.2699862289   32.1500116945
  75.2790461695   51.2285472730
  75.2881061100    9.3690281902
  75.2971660506   17.4748364307
  75.3062259912   46.0615523402
  75.3152859317    8.8787540756
  75.3243458723   30.6806786424
  75.3334058129   28.8473162062
  75.3424657534   30.7374230803
  75.3515256940  130.5028258790
  75.3605856346    4.7885686585
  75.3696455751   80.1521450850
  75.3787055157   40.4694187574
  75.3877654563   36.7161402659
  75.3968253968   70.0346584693
  75.4058853374   36.5496037683
  75.4149452780   98.4470205106
  75.4240052185  188.0372464762
  75.4330651591   86.8520236797
  75.4421250997   29.1082031356
  75.4511850402  130.4806968668
  75.4602449808   66.3166564943
  75.4693049214   42.2091927562
  75.4783648619  147.1205712723
  75.4874248025   32.2966265459
  75.4964847431   41.8407275593
  75.5055446836  158.0707696169
  75.5146046242  161.6192556706
  75.5236645648  222.5635578802
  75.5327245053  183.5657158404
  75.5417844459   75.6283897022
  75.5508443865   95.6542119902
  75.5599043270  201.1771724362
  75.5689642676    4.2940565715
  75.5780242082   62.5131662466
  75.5870841487   43.6621263253
  75.5961440893   84.3128445538
  75.6052040299   51.9594719778
  75.6142639704   13.2842565301
  75.6233239110    0.0942802819
  75.6323838516  138.6578345643
  75.6414437921  124.8392845797
  75.6505037327   51.2601790080
  75.6595636733    3.7356091729
  75.6686236138    3.9218915038
  75.6776835544  113.9256717434
  75.6867434950   25.6479353773
  75.6958034355   77.5711674341
  75.7048633761   17.9467464767
  75.7139233167    4.5167015754
  75.7229832572   43.7153491214
  75.7320431978  200.4554064525
  75.7411031384   71.3744766030
  75.7501630789   13.7262337689
  75.7592230195   51.2902606027
  75.7682829601   32.4352575701
  75.7773429006   47.5495655599
  75.7864028412   44.1441725611
  75.7954627818  190.7745137956
  75.8045227223  183.9913370866
  75.8135826629   55.8247906427
  75.8226426035  191.8540665658
  75.8317025440   13.5406305946
  75.8407624846  155.2195964855
  75.8498224252   24.5431760504
  75.8588823657   25.0527818012
  75.8679423063   30.2824017522
  75.8770022469   70.8430775212
  75.8860621874   43.2157672179
  75.8951221280    0.5326039898
  75.9041820686  246.9031952504
  75.9132420091   32.5128335510
  75.9223019497   57.1861031109
  75.9313618903   41.7827677434
  75.9404218308   20.4367712145
  75.9494817714   59.1766685558
  75.9585417120   21.7412104001
  75.9676016525   50.2989164816
  75.9766615931   18.6323405334
  75.9857215337  128.9095796556
  75.9947814742  117.7681922616
  76.0038414148   70.2244261530
  76.0129013554   33.1385418845
  76.0219612959   95.8864392683
  76.0310212365   56.6071287928
  76.0400811771   28.2271241124
  76.0491411176   21.7157762640
  76.0582010582   10.5644919282
  76.0672609988  229.8135100443
  76.0763209393   18.8589605986
  76.0853808799   34.3396107264
  76.0944408205   14.4726865099
  76.1035007610   14.9557585499
  76.1125607016   80.3276229766
  76.1216206422   88.7046382623
  76.1306805827  164.1077104771
  76.1397405233  134.4431321307
  76.1488004639    8.2170635716
  76.1578604044   54.7071169056
  76.1669203450    5.3857122860
  76.1759802856   46.7999750073
  76.1850402261  130.0163927393
  76.1941001667   10.7786123602
  76.2031601073   29.6596655020
  76.2122200478  199.5475877234
  76.2212799884  237.0510069121
  76.2303399290   54.0271153502
  76.2393998695  110.1873054358
  76.2484598101    8.9859794692
  76.2575197507  118.1296895786
  76.2665796912    8.7236959535
  76.2756396318   12.0720149196
  76.2846995724   55.5611712019
  76.2937595129  195.7830766659
  76.3028194535    1.4784922547
  76.3118793941    2.3863909772
  76.3209393346  199.4792900520
  76.3299992752   49.0729584706
  76.3390592158  166.0418069853
  76.3481191563   17.9271774411
  76.3571790969  126.0675255337
  76.3662390375   65.4934567323
  76.3752989780   32.6813140069
  76.3843589186   46.7100581363
  76.3934188592   13.8678394949
  76.4024787997  149.5139119115
  76.4115387403   79.8768084606
  76.4205986809  147.1922680292
  76.4296586214   16.3508131464
  76.4387185620   27.0536476475
  76.4477785026  102.6192505919
  76.4568384431    7.3992733306
  76.4658983837   25.3710278231
  76.4749583243   73.9672342613
  76.4840182648    6.1513721828
  76.4930782054  319.4491747204
  76.5021381460   14.1008448595
  76.5111980865   72.8839328049
  76.5202580271   36.8606743074
  76.5293179677    5.3950832960
  76.5383779082   34.6736793665
  76.5474378488    8.7432755963
  76.5564977894  215.4426763466
  76.5655577299    2.7515181388
  76.5746176705  241.2877985079
  76.5836776111   40.9076163215
  76.5927375516   62.1324860125
  76.6017974922   15.1716964470
  76.6108574328   87.7941021287
  76.6199173733  107.7426189921
  76.6289773139    9.3229871972
  76.6380372545   39.9828905029
  76.6470971950   18.3256639169
  76.6561571356   26.2225179743
  76.6652170762   59.6574591448
  76.6742770167    1.2294920845
  76.6833369573    1.3342739065
  76.6923968979   28.0348666459
  76.7014568384    5.0338734341
  76.7105167790  204.1174896422
  76.7195767196   31.9885595227
  76.7286366601    2.9984079824
  76.7376966007   87.1120107928
  76.7467565413  147.7789263833
  76.7558164818  115.3400500792
  76.7648764224   46.9520945328
  76.7739363630   47.9687249347
  76.7829963035   21.7356227550
  76.7920562441   20.4329003816
  76.8011161847    5.2187578986
  76.8101761252    2.0642505357
  76.8192360658   40.8047351238
  76.8282960064   55.2375695879
  76.8373559469   37.3414472368
  76.8464158875   43.5463790361
  76.8554758281   66.0534407611
  76.8645357686   11.8038888617
  76.8735957092    6.7899373840
  76.8826556498  138.0333732574
  76.8917155903   47.2158253627
  76.9007755309   58.4716541396
  76.9098354715   33.1930966358
  76.9188954120   34.8411032769
  76.9279553526  216.9424532886
  76.9370152932   25.8660298790
  76.9460752337    6.1173304899
  76.9551351743    1.3372324597
  76.9641951149  119.6207953221
  76.9732550554   36.9179326328
  76.9823149960   99.6477764580
  76.9913749366   21.0041604340
  77.0004348771   63.7479270665
  77.0094948177    4.3321762283
  77.0185547583    7.7501993078
  77.0276146988  141.2661801751
  77.0366746394   50.7492930844
  77.0457345800    0.3836490232
  77.0547945205  162.8522387789
  77.0638544611   17.4210637414
  77.0729144017   30.0116385983
  77.0819743422    1.0033027107
  77.0910342828   17.4980895181
  77.1000942234  300.6339790184
  77.1091541639   53.0902275441
  77.1182141045  115.3103637100
  77.1272740451  346.4415005066
  77.1363339856   18.6095734129
  77.1453939262  159.4727540287
  77.1544538668   14.6437721871
  77.1635138073   32.6849152716
  77.1725737479  129.5262486900
  77.1816336885   33.9255140923
  77.1906936290   32.5248478998
  77.1997535696  152.3509405020
  77.2088135102    0.5928646964
  77.2178734508   34.3223321644
  77.2269333913   29.0049718800
  77.2359933319    0.9438205774
  77.2450532725   32.9597177630
  77.2541132130   27.1562343501
  77.2631731536   34.3754206907
  77.2722330942   93.2476103723
  77.2812930347   12.3894865148
  77.2903529753   80.3805581507
  77.2994129159    7.7325994924
  77.3084728564  114.8357008493
  77.3175327970   99.4288839228
  77.3265927376   16.8483082566
  77.3356526781   59.8045089619
  77.3447126187   76.2304888708
  77.3537725593   45.0524263962
  77.3628324998  162.3357201209
  77.3718924404   48.9677084457
  77.3809523810   12.1032525891
  77.3900123215   24.6870374925
  77.3990722621   87.4205369162
  77.4081322027   21.7496400619
  77.4171921432  113.8204722995
  77.4262520838   63.8161268137
  77.4353120244  167.0119854944
  77.4443719649   12.8539270876
  77.4534319055  171.7401456626
  77.4624918461  120.2264529843
  77.4715517866    8.0354412142
  77.4806117272  119.0990122922
  77.4896716678   19.5613546338
  77.4987316083  186.4134158911
  77.5077915489    4.8414260725
  77.5168514895    2.9714076799
  77.5259114300  234.2986469032
  77.5349713706   10.9003338974
  77.5440313112    7.6816552675
  77.5530912517   34.6942656187
  77.5621511923   36.8088308513
  77.5712111329   42.6105702672
  77.5802710734   54.4899294334
  77.5893310140   55.4517108563
  77.5983909546   42.5106044219
  77.6074508951   50.7550387517
  77.6165108357   61.5514708946
  77.6255707763   32.4555365732
  77.6346307168   19.2402348258
  77.6436906574  136.3167946930
  77.6527505980   66.4414019144
  77.6618105385   45.7609787610
  77.6708704791  189.0236098127
  77.6799304197   11.4855553720
  77.6889903602   13.1668808621
  77.6980503008    2.8532376730
  77.7071102414   91.6878421854
  77.7161701819   21.2946825060
  77.7252301225   50.5184584026
  77.7342900631   46.4146127377
  77.7433500036  167.9050230292
  77.7524099442   41.0206261143
  77.7614698848   42.6161679361
  77.7705298253    9.0114842633
  77.7795897659   11.6522490832
  77.7886497065   87.5861304058
  77.7977096470   62.4303687203
  77.8067695876   79.3196536748
  77.8158295282  158.3112331639
  77.8248894687    0.3098118765
  77.8339494093   32.2669358458
  77.8430093499   84.4135566332
  77.8520692904   92.0872432260
  77.8611292310   74.5995685715
  77.8701891716   86.1180199355
  77.8792491121   11.8758354599
  77.8883090527  311.9912781161
  77.8973689933  159.8839469468
  77.9064289338  347.1202135134
  77.9154888744   82.5604284861
  77.9245488150   55.9874394670
  77.9336087555   15.5407959813
  77.9426686961   42.7577145643
  77.9517286367   79.2042796267
  77.9607885772   34.9720255073
  77.9698485178   11.6585830681
  77.9789084584   68.0105255284
  77.9879683989    0.9192041230
  77.9970283395  109.1753706758
  78.0060882801   21.9416552992
  78.0151482206    4.1337433311
  78.0242081612   24.3400153504
  78.0332681018   40.5548957484
  78.0423280423   79.3634548423
  78.0513879829    2.3810153844
  78.0604479235  137.7252838015
  78.0695078640  119.6151022540
  78.0785678046  165.8966653787
  78.0876277452    5.3506726394
  78.0966876857   43.7410163213
  78.1057476263   29.9312139825
  78.1148075669  112.3736626241
  78.1238675074   19.4808465327
  78.1329274480    6.4540938341
  78.1419873886    4.9594251277
  78.1510473291   17.6501630591
  78.1601072697   24.0539568777
  78.1691672103   26.7212907002
  78.1782271508   14.8946677060
  78.1872870914   80.6043002635
  78.1963470320   17.7641849809
  78.2054069725   77.8086591493
  78.2144669131  207.4097576210
  78.2235268537  424.7990320069
  78.2325867942   62.7740663284
  78.2416467348   18.7229174690
  78.2507066754   35.1751940885
  78.2597666159   69.0650976460
  78.2688265565   31.4609061608
  78.2778864971   57.5330547503
  78.2869464376   51.1288410550
  78.2960063782   15.7303257158
  78.3050663188   20.4810421470
  78.3141262593   66.3765687737
  78.3231861999  111.6375784250
  78.3322461405    9.9270091017
  78.3413060810  386.3255529457
  78.3503660216   68.6507191785
  78.3594259622  347.0504472248
  78.3684859027    1.0248469509
  78.3775458433   65.1879049732
  78.3866057839    0.1630229140
  78.3956657244   59.5575147621
